0a25b7|Everyone is worn out|Pen, wash on found page||
0a285f|The rain will be over|Pen, wash on found page||
0a5a63|Burnham Overy Staithe, Norfolk|Ink and wash on paper, 9 x 14 cm, August 2009||
0a5f25|Burnham Overy Staithe, Norfolk|Ink and wash on paper, 9 x 14 cm, August 2009||
0b9c4e|From the back garden, Great Massingham, Norfolk|Ink and wash on paper, 9 x 14 cm||
0b9c5f|Casa Emilia in shadow|Ink wash on handmade paper||
0c5131|Drip painting - stage 1 (118 marks)|118 marks<br/>- random length<br/>- random placement<br/>- random thickness<br/>- random grey<br/>- random direction<br/><br/>Using http://processing.org||
0c70fb|Drip painting - stage 2 (891 marks)|891 marks<br/>- random length<br/>- random placement<br/>- random thickness<br/>- random grey<br/>- random direction<br/><br/>Using http://processing.org||
0c7207|Drip painting - stage 3 (9753 marks)|9753 marks<br/>- random length<br/>- random placement<br/>- random thickness<br/>- random grey<br/>- random direction<br/><br/>Using http://processing.org||
0cbaee|Ghost[ed.] VI|Tim Brown (key image) and Gino Ballantyne (ghost image)<br/>Lithograph and graphite on Somerset Satin White 300 gsm<br/>Paper size: 285 x 380mm approx.<br/>Edition size: 15||
0ce9c5|Alviano, Terni, Italy|Indian ink and wash on paper, 9 x 14 cm, May 2009||
0d9c0b|Napol&eacute;on (1769 - 1821) 51 years|Pen on margin of antique map||
0e1fc9|Viewing Linde Busk paintings at the Saatchii Gallery|Ink and wash on paper 13 x 21 cm, 2011||
0e2757|Six heads|Ink on book page||
0e28bf|45 years (XIV Peter Pan)|Ink on book page, 4 April 2007||
0e4db4|Garden edge sun, shadow|Ink wash on handmade paper||
0ed7b9|Don't touch|Ink and wash on book page||
0ef3cf|Cloud 3.1|Using http://processing.org||
100b07|Gasometer, North Kensington|Ink and wash on file separator, 2007||
10359b|Over Chelsea Bridge|Ink and wash on paper, 9 x 14 cm, 2010||
114d02|Seafront houses, Whitstable, Kent|Ink and wash on paper, 9 x 14 cm, May 2010||
1186a5|Sand Dunes, Brancaster, Norfolk|Ink on book page, 2010||
11fc51|Cloud 1.1|Using http://processing.org||
124283|Cloud 2.1|Using http://processing.org||
12ebe0|Winter tree|Ink, wash, book page||
133b0a|Groyne - bolt|||
137cdf|At WWR|pen, ink, lined paper, 9 x 14 cm||
13e192|Outside St Cross Building, Oxford|Pen, ink on paper, 9 x 14 cm||
13ef04|Dusk at Clapham Junction|||
1505d3|Pineapple|Pencil by I when aged ten||
150928|uncomplicated|Ink on book page||
1543a8|Marx my word fort (detail b), Finnegans Wake, White Cube Bermondsey, 2023|Ink on paper 14 x 21 cm||
157b67|Brancaster Beach, Norfolk|Gouache on book page||
1599ec|Day of the dead (ACT  I)|Ink on book page, 1st &amp; 2nd November||
159a10|Two towers|Ink on antique book page
159b52|Morden Hall Park|Pen and wash on a page of score from Michael Tippett's Symphony No. 2<br/>(from the collection of M Clarke)||
159bb8|Siblings|Ink on book page, based on photo, 1967<br/><br/>(from the collection of P Ankers)||
1600c5|Basilica di San Marco, Venice (seen from the Campanile)|Ink and wash on paper, 9 x 14 cm||
164420|Spring starts beneath an ash cloud|Ink on handmade paper||
164732|Self|Brush, ink||
174c6a|Hung Out, after Dan Perfect|Pen and ink on paper 13 x 21 cm||
177de0|Diana Princess of Wales (1961 - 1997) 36 years|Black and white digital halftone image, 2024|png|
17e52c|Site Office, N&deg;1 Knightsbridge|Ink on book page, 2007||
195ab1|Alison|Ink wash on handmade paper||
197b2c|Tree, plants and shade|Indian ink and wash on paper 9 x 14 cm, May 2009||
19b642|Tree, plants and shade|Indian ink and wash on paper 9 x 14 cm, May 2009||
1a926e|<i>The End of the Twentieth Century</i> by Joseph Beuys at the Tate Modern|Ink and wash on book page||
1aa6e9|The barrel ceiling|The Swiss Church, Endell Street, London||
1ac0b4|Looking inland, Brancaster Beach, Norfolk|Watercolour on vintage paper||
1c3c5f|The days when I didn't think|Indian ink on handmade paper, 2009||
1c4ff5|Hen's head|Ink and wash on handmade paper||
1cefba|The Artist Herder|Ink and wash on book page||
1d11b5|Commuters leaving|Central Line, White City, 2009||
1d8176|07|linocut, antique map, acetate||
1d9bef|The Chorus|Ink on 17th century book page||
1dcd86|Alan Turing (1912 - 1954) 41 years|Ink and wash on handmade paper||
1f0999|Egon Schiele (1890 - 1918) 28 years|Ink on antique French military map||
1f357d|Poladroid of ink drawing|||
1f37e7|Score with marks|||
1f38b6|after The Last Judgement, Basilica of Santa Maria Assunta, Torcello|pen, ink, wash||
1f38bb|Blackfriars Bridge|||
1f397d||Tate Modern, 2009||
1fcf56|Man sleeping on the Jubilee Line|Ink on paper, 9 x 14 cm, June 2008||
200ee4|St. Pauls from the Thames|Ink on paper, 9 x 14 cm, 2012||
21138a|Anton Chekhov (1860 - 1904) 44 years|Ink wash on book page||
212833|23 - garden fragment|nk, antique map, acetate||
217b6d|Clapham Junction|Ink and wash on paper, 9 x 14 cm||
219f4b|N&deg;1 Knightsbridge underconstruction|2009||
21c2aa|obscured trees|Ink wash on paper, 9 x 14 cm||
229d1f|Sloane Street|Ink, wash on paper, 9 x 14 cm||
236725|Chalk Farm Underground Station|Ink and wash on paper, 9 x 14 cm, 2025||
236ad2|Studies of Susan Hiller's <i>The J.Street Project</i>|Charcoal pencil and pen, 2024||
23ba0f|Cars parked rain|Ink and wash, 2009-06-06, Tooting, South London||
2476ca|Viewing the Alice Neel exhibition at Victoria Miro|Ink and wash on paper, 9 x 14 cm, 2025||
24a5a9|Title page|<i>Beside the Bonnie Brier Bush</i> - I'm painting on the pages of this book.||
24a65f|Battersea Park, London|||
24a72f|They weave a network|Ink, wash on paper, 9 x 14 cm, 2009||
253a0d|Plough Lane|Ink and wash on handmade paper, 2008-04-05||
268194|St Francis preaching to the birds|After fresco by 'Master of St Francis', Lower Basilica of San Francesco, Assisi<br>Ink wash on book page, 2010||
269fc5|Twenty Five|Gouache and coloured ink on book page (Edward Lear Book of Nonsense)||
26af6c|Tuscan Landscape|Acrylic on board, 2008||
26c6af|Fifty Years|Digital painting 1201 x 1201 pixels.<br/>Coded with http://processing.org||
26d053|Behind houses|Indian ink, 2009||
270535|Embalse de los Bermejales, Zafarraya, Granada|Ink on map||
27592a|Lino self, 1985|Linocut print, self portrait, 14 x 17 cm||
279321|Watercolour how-to: steps 1 to 4|Demonstration of watercolour painting technique, 1989||
27a191|Northern Line at Kennington|Ink and wash on paper, 9 x 14 cm, 2025||
27a8cc|More matter with less art|Ink wash, book page<br/>2011||
28a7ff|Blackfriars Bridge|2009||
28cbb5|Joseph Conrad (a)|Pen and ink wash on handmade paper, 15 x 15 cm||
28ce79|Belgrave Walk, CR4|December 2007||
2949db|Page 46, The Nutritious Newt|Ink on book page, Edward Lear's Alphabet||
2a4b5f|London Bridge|Ink and coloured pencil on London A to Z||
2aeef6|Parked cars, Tooting, SW17|Ink and wash on paper, 9 x 14 cm, 2010||
2b000f|Haruki Murakami's Japan|Ink on book page||
2b2831|Reginald Bryant (1887 - 1979) 92 years|Graphite on cartridge paper||
2be432|Uncle Vanya: Oh, my God! I'm forty-seven|Ink and wash on play script, Uncle Vanya, Act IV||
2bf6a8|Ink trees|||
2c5e46|Gore's Sermons|||
2ce281|Red Road flats, Glasgow|Ink, wash, book page, 2010<br/>ref. http://www.guardian.co.uk/uk/2010/mar/12/red-road-deaths-russian-asylum-seekers||
2d0811|Trees, Wimbledon Common|||
2d0b67|pencil study, trees|graphite on paper, 9 x 14 cm||
2d1d5b|Haydons Road Station|Ink and wash, 2009||
2d2775|Haydons Road, SW19|Ink on sheet music, 2009||
2d69dd|The literalist|Ink wash on printed page||
2d6dbd|Roofs|||
2d6fe3|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008||
2d727b|Penlee House gardens, Penzance|Ink, wash on handmade paper||
2d7861|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008||
2d8135|House|Ink, wash on handmade paper||
2d8521|Battersea Park|||
2d88a5|Battersea Park|Ink wash, cheap paper||
2d8c8b|Battersea Park|||
2d8f49|Battersea Park|||
2d91a9|Battersea Park, SW11|Ink on paper, 9 x 14 cm, 2008||
2d945f||||
2d9e5f|These are|Ink on antique book page
2da599||||
2db2d1|Trees enclosing house|||
2db7a3|Advert at Airport|Pen on paper, 9 x 14 cm||
2dbee7|Morden Hall Park, SM4|Ink and wash on book page, 2008||
2dc3cf|Trees, railway|Ink, wash book page||
2dcacb|Page 229|||
2dcdf3|Rainy drove|||
2dd351||||
2de2e5|Trees|||
2de93d|Black flowers|||
2df155|Two trees|||
2df553|One tree|||
2e094f|Trees by space, ink on card|Indian ink on card||
2e1a31|Church Road, CR4|Ink on waste card ||
2e201b|Underground trains|Ink and wash on paper, 9 x 14 cm, 2008||
2e2d99|Untitled|Ink wash on paper 14 x 21 cm
2e32ad|Phipps Bridge Road, CR4|Ink wash on paper, 9 x 14 cm||
2e34f9|Tree and building)|||
2e37e3|St Pauls Clapham interior|Ink on paper, 9 x 14 cm||
2e503f|Cafe, EcoTech Centre, Swaffham|Ink on paper, 9 x 14 cm, 2009-08-13||
2ed242|/lI.|Ink on paper, 9 x 14 cm
2fcf4e|.||||
300590|Car park, Tooting, SW17|Ink and wash, 2009||
30378f|#|Ink and wash||
3038ff|Point Clear, August 1962|Based on photo of the artist with his mother, ink on book page, 2008||
308582|Landscape after 'Paradise' by Lukas Cranach|Ink, paint on antique map||
30b0c8|Undefined|Ink and wash, 2009-06-16||
3121d5|Trees, Wimbledon Common|Indian ink and wash||
312375|House, Wimbledon Common, SW19|||
31259d|Fever dream (b)|Ink and wash||
314bf1|Dunes|Camber Sands, 2008-06-07||
31592d|Dunes at Camber Sands, East Sussex|In and wash on handmade paper, 2008||
315c5f|Figure and ground|Ink, wash and gouache on book page||
318f80|Plough Lane, SW17|Ink and wash on handmade paper, 2008||
319441|Cornish Ice|Newlyn Harbour||
321a1e|The Obsequious Ornamental Ostrich|Found drawing on Edward Lear's Alphabet||
322c77|Cha&iuml;m Soutine (1893 - 1943) 50 years|Ink wash on handmade paper||
3236fc|Not fade away|Indian ink and wash on handmade watercolour paper, 2009-04-25||
3246e9|Map rorschach|Ink, gouache, crayon on London A-Z page||
330db0|Appreciation 452|Watercolour on book page||
333dee|Near the house|Ink wash on page of <i>Uncle Vanya</i><br/><br/>(from the collection of C Cullis)||
33b382|Froghall Wharf|Ink, wash on paper, 9 x 14 cm, 2009-04-12||
342670|Dunes, Brancaster Beach, Norfolk|Gouache on book page, 2009||
3460fc|Canal lock|Ink and wash on paper 9 x 14 cm, April 2009||
3479b8|Interior, Venice|pen, ink, wash on paper, 9 x 14 cm||
34f473|Village, after Dan Perfect|Ink, wash, gouache paper, 9 x 14 cm||
352bb5|Alfr&eacute;d Haar (1885 - 1933) 47 years|||
357fda|Passengers approach the down escalatorr| Notting Hill Gate Underground Station, 2007|||
3624c4|Car Showroom, Plough Lane, SW17|Ink and wash on book page, 2008||
362ae6|Twenty Twenty Five|Ink and graphite on book pages||
37d972|Watercolour how-to: steps 5 to 8|Demonstration of watercolour painting technique, 1989||
3815eb|Figures on ice|Indian ink on music score||
381915|Figures|Indian ink on music score, 2009||
39aa8c|Trees, White City|Ink on paper, 9 x 14 cm, 2007||
39b0ee|Ink trees (Wimbledon Common)|Ink and wash on handmade paper||
39bd5e|Paris from the Eiffel Tower|Photos, pencil, 1982||
39c084|23-01-2009|||
39c820|<i>Mother and child</i> by Henry Moore 1932|Sainsbury Centre for Visual Arts<br/>Pen, ink wash on paper, 9 x 14 cm, 2014||
39d894|Fir trees|Ink and wash||
39e320|Music score with pen and ink|||
3a2ce6|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008||
3a30f4|Porthcurno Beach, Cornwall|Ink and wash on handmade paper, September 2008||
3a35b4||Ink, wash on handmade paper||
3a4e44||||
3a5304|this drawing does|||
3a58ea||||
3a5ff2|an answer|Ink on antique book page
3a63d8|Subtract Less|Ink and wash on book page||
3a6874||||
3a6c16|2008-09-30|||
3a6d66|Doorway|Ink on paper 9 x 14 cm||
3a6dfe|Cafe, EcoTech Centre, Swaffham|Ink and wash on paper, 9 x 14 cm, 2009-08-13||
3a71ca|Queueing theory and practice|Ink on paper 9 x 14 cm||
3a7948|Sapling|Christmas card, 2008||
3a7f24|Pylon at Phipps Bridge, CR4|Pen, ink and wash on book page, 2008||
3a8240|Puppets|Ceramic, wood, wire, textiles, 1990-2003||
3a87e3|Fruit tree|Ink, wash on paper, 9 x 14 cm, 2009-06-28||
3a90fc|Old Wichen, Norfolk|Ink and wash on paper 15 x 21 cm
3a9424|Castle Acre Priory, Norfolk|Ink and wash||
3a976c||||
3a9d66|October Thursday|||
3aa52a|Grey Tooting, SW17|Ink wash on watercolour paper, 2008||
3ab2f6|Three trees|||
3ab674|Tree and street lamp|||
3ab8a8|Penguin 1248|||
3acacc||||
3acbb1|<i>The Followers</i> by Ximena Garrido-Lecca at Newspeak: British Art Now II, Saatchi Gallery|Ink and wash on paper 9 x 14 cm||
3ad5f6|Trees by a path|Indian ink on waste packing card,2008||
3ae08c|Road, SW19|||
3ae9e8|Buildings in shadow|||
3aec32|Phipps Bridge Road, CR4|Ink wash on paper 9 x 14 cm||
3aef42|St Paul's, Clapham interior|Ink on paper 9 x 14 cm
3af1ec|Trees sketch|Indian ink on paper, 9 x 14 cm, January 2009||
3af6fa|Trees enclosing yard|||
3afa40|Trees enclosing yard|||
3afee4|Sun behind trees|||
3b0148|Random Art|Christmas card, Jim Harris||
3b3962|Opening of Hamlet|Receipt print||
3b5a34|Dead hen|Ink and wash on handmade paper||
3be1d5|Blue Borkman|Watercolour on book page||
3be35b|Borkman 259|Gouache on book page||
3be4e3|Collected Works|gouache on book page||
3d29e0|Unknown Man after Pieter Nason|Drawn at Dulwich Picture Gallery,<br/>ink on paper, 9 x 14 cm||
3d5d55|Letter 'e'|Ink and coloured pencil on book page||
3df5f7|Rectory Grove, SW4|Ink and wash on paper, 9 x 14 cm, 2025||
3e683e|Beetle|Ink and wash on book page||
3ed8ad|Red Castle|Collage by I when aged eleven||
3ee471|Blue Parrot|Collage by I when age eleven||
3f02fb|All the lead sleeping in my head|Ink on Underground map with lead pieces||
3f2b80|Kensington Gardens, W2|Ink on book page||
3f3498|Las Meninas|Ink and wash on book page||
3f4037|Trees with black stitching|Moleskine notebook centrefold||
3f5765|Sky, Atlantic Ocean, Trees|Watercolour on handmade paper, 15 x 15 cm||
40a5e6|One lonely New Yorker|Ink on handmade paper, 15 x 15 cm||
40ed4a|Retreat|Ink and wash, book page||
40ff5d|By tube 7 January 2007|Victoria line journey - Oxford Cicus to Vauxhall||
413176|The joyous venture (page 85)|Pen, ink and wash on book page||
41d752|Gasometer, North Kensington W10|2007
41de8a|Trellick Tower|||
41deda|White|Ink, watercolour, collage on book page||
424153|The Tower of Babel, after Bruegel|Coloured ink and paint on antique military map||
44a9c0|Dusk, gap between curtains|||
44b33e|At Battersea Park|Ink, wash on paper, 9 x 14 cm, June 2009||
44b4ae|Ice skating|Indian ink on music score||
44b664|Ice rink|Indian ink on book page||
44bb94|Northern Line as a constellation in the night sky|Digital image, 2007||
45353d|Knitting mistake swatch|Ink and charcoal on book page||
457ee9|Sea Monster|Ink on watercolour paper||
45e478|Chekhov died aged 44|Ink wash on green paper, 2009||
461cd3|Not wearing a glove on the hand|Ink on antique map||
4638fb|Altered Bible Stories|Acrylic, ink and book pages on canvas 45 x 45 cm, 1995||
467069|Ducks on frozen lake, Central Park|Watercolour, by M when aged 14<br/>They were studying <i>Catcher in the Rye</i> at school. Their painting is about Holden's fascination with what becomes of the ducks in the winter when the lake freezes.||
46a004|Deer Park Road, SW19|Ink and wash on handmade paper, 2008||
472dfe|Undergrowth|Ink and wash on paper, 9 x 14 cm||
473b60|Los Llanos, La Palma, 2014|Ink on paper, 9 x 14 cm||
487696|A crowd waiting for a train|Pen, wash on paper, 9 x 14 cm||
495975|North Street, Clapham|Ink wash on book page, 2008||
49a1c1|Nicole|Ink, wash on book page||
49d36a|Lucian Freud (1922 - 2011) 88 years|Ink wash on book page||
49f2a4|Valentines Park|Gants Hill, London Borough of Redbridge<br/>October 2008||
49fcd2|Tree by the ocean|Watercolour, pen on handmade paper, 15 x 15 cm, 2014||
4a1c53|Body with dark marks|Ink and wash||
4a667a|Beach, buildings, Brancaster|Gouache on book page||
4a6e5d|The Printmakers Hands|Ink, wash on book page||
4b5247|I remember when|Coloured ink on book page||
4b7018|Garratt Park, London, SW17|Ink and wash on music score, 2009||
4b73f2|Garratt Park, London, SW17|Ink and wash on book page, 2009||
4c14fb|Basil Edwards|Linocut print, antique map||
4c403b|Jacob wrestles an angel|Acrylic on book page, 2011||
4c44c7|Maxim Gorky (1868 - 1936) 68 years|Ink wash on book page||
4d7944|In the museum|Ink and wash on paper 13 x 21 cm||
4ef8d1|Marx my word fort (detail a), Finnegans Wake, White Cube Bermondsey, 2023|Ink and wash||
4fab7a|Bridge to Campo San Cassiano, Venice|Pen, ink, wash on paper, 9 x 14 cm, 17th April 2014||
5016ac|Index card: river|Ink and wash on index card separator||
50a74e|I am I and my circumstances|Ink, wash and coloured pencil on book page||
52ef93|Blakeney Quay, Norfolk|Ink and wash on paper, 9 x 14 cm, 2010||
54135f|Durrington &amp; Amesbury Towers, SW8|Ink on paper, 9 x 14 cm, 2007||
54a759|Facial Shingles|Ink and coloured pencil on book page||
54fdea|Marc Chagall and Bella Rosenfeld|Ink, map, acetate||
558ced|16|Using http://processing.org||
55e923|La B&ecirc;te di G&eacute;vaudan after Auguste Forestier|Charcoal, ink and coloured pencil on book page, 2025||
56c00f|Hounslow Isleworth Valentine|Ink, coloured pencil and wash on London A-Z page||
570358|Phipps Bridge Estate, CR4|Ink and wash, 2008||
5745dd|Traffic leaving London for the weekend|A40 Westway,  17:45 2011-03-18.||
5795d0|ACT I, 2 skulls, page 99|Ink, book page||
579cd1|Boats, Burnham Overy Staithe|Ink, wash on paper, 9 x 14 cm||
57a401|This resolution|Graphite and watercolour on book page, 1983||
583ffd|Haar (a)|Digital painting 640 x 640 pixels<br/><br/>Haar<br/>- sea mist (Scottish)<br/>- hair (German or Dutch)<br/><br/>Alfr&eacute;d Haar (1885 - 1933), Hungarian mathematician<br/><br/>---<br/>Coded with - http://processing.org||
589647|after Statuetta di Sileno, Roman copy of Greek Original, Museo Archeologico, Venice|pen, ink, wash on paper, 9 x 14 cm||
58e076|Battersea Power Station|Christmas card, 2003||
58f7ac|Wind formed tree|Ink and wash on paper, 9 x 14 cm, 2009||
59b319|Index card: water|Ink and wash on index card separator||
5a273e|...|Ink and wash on music score||
5a5ea7|The Prophet Amos|Ink, book page, cardboard collage||
5b01d4|Joseph Conrad (b)|Pen and ink wash on handmade paper, 15 x 15 cm||
5b7f54|Lavender Hill, SW11|Ink on paper, 9 x 14 cm, 2015||
5cf388|Rotherhithe &amp; the Isle of Dogs|Ink and wash||
5cfd45|Un arbre monochrome|Ink and wash on paper, 9 x 14 cm, 2009-08-13||
5d02fa|Brancaster Beach, Norfolk|Gouache on book page, 2009||
5d9c5d|Rosemary Bryant (1929 - 1990) 61 years|Ink wash on handmade paper||
5d07b4|Rosemary Bryant (1929 - 1990) 61 years|Graphite on book pages||
5df01f|Marcatissimo|Ink on page from Michael Tippett Symphony No. 2, 2009-07-04||
5f3ef4|Orange Three|Ink and graphite on book page||
5f72e8|Psychological Landscape|Ink on book page, 2008||
604688|Duchampian Echo|||
606830|Boat, Rio dei Scudi, Venice|pen, ink, wash on paper, 9 x 14 cm||
60ae72|Doncaster Station looking South|Ink and wash on paper, 9 x 14 cm, 2025||
60e0b6|Durrington &amp; Amesbury Towers at night, SW8|Ink and wash on sheet music||
60e0cf|Six twitter heads|Ink wash on book page||
615799|Safe towers|Ink, wash on book page||
616d4b|Two figures|Ink and wash on book page||
61a1c1|Capital, Basilica of Santa Maria Assunta, Torcello|pen, ink, wash on paper, 9 x 14 cm||
61f6a8|Zafarraya, Granada|Ink on map||
624e64|-|||
62ec32|Lydden Road, London, SW18|Ink on music score, 2009||
6313c1|Clapham Junction|Ink and wash on paper, 9 x 14 cm, 2025||
635917|Aomame 青豆|From Murakami's novel 1Q84<br/>Ink wash on handmade paper, 15 x 15 cm||
636ac1|Ushikawa, Bobblehead|From Murakami's novel 1Q84<br/>Ink wash on handmade paper, 15 x 15 cm||
64657e|Garden border (detail)|Ink and watercolour, 1981||
6466fc|I'm not giving up|Lino-cut with ink and wash||
